stock_id,brand,model,model_family,cpu_socket,max_sockets,ram_type,max_dimm_slots,max_memory_gb,drive_form_factors,drive_bays,supported_interfaces,condition_new,condition_refurbished,datasheet,source,is_server,needs_review,note
4745,HPE,HPE DL580 GEN8 4U  10SFF,HPE DL580 GEN8 4U,LGA2011,2,DDR3,,,"2.5"" SFF",10,,yes,no,none,derived,yes,no,HPE Gen8 (E5 v1/v2)
4744,HPE,HPE DL365 GEN10 PLUS,HPE DL365 GEN10 PLUS,SP3,2,DDR4,,,,,SATA;SAS;NVMe,yes,yes,HPE\hpe-dl365-gen10-plus-datasheet.pdf,derived,yes,no,HPE EPYC Gen10 Plus
4743,HPE,HPE DL365 GEN10 PLUS 8SFF,HPE DL365 GEN10 PLUS,SP3,2,DDR4,,,"2.5"" SFF",8,SATA;SAS;NVMe,no,no,HPE\hpe-dl365-gen10-plus-datasheet.pdf,derived,yes,no,HPE EPYC Gen10 Plus
4742,HPE,HPE DL380 GEN10 PLUS 16SFF,HPE DL380 GEN10 PLUS,LGA4189,2,DDR4,,,"2.5"" SFF",16,SATA;SAS;NVMe,no,no,HPE\hpe-dl380-gen10-plus-datasheet.pdf,derived,yes,no,HPE Intel Gen10 Plus (Ice Lake)
4741,INSPUR,INSPUR SA5112M5 8LFF,INSPUR SA5112M5,LGA3647,2,DDR4,,,"3.5"" LFF",8,,no,no,none,derived,yes,no,Inspur M5 (Skylake/Cascade)
4740,DELL,POWEREDGE R920,R920,LGA2011,4,DDR3,96,6144,,,SATA;SAS;NVMe,no,no,DELL\Dell-PowerEdge-R920Technical-Guide-2018Jun DATA SHEET.pdf,derived,yes,no,Dell 12G 4-socket (E5-4600 v1/v2)
4739,ASUS,ASUS ESC4000A-E10 8LFF,ASUS ESC4000A E10,SP3,2,DDR4,8,2048,"3.5"" LFF",8,NVMe,no,no,ASUS\ASUS DataSheet_ESC4000A-E10.pdf,derived,yes,no,ASUS A-series EPYC Rome/Milan
4738,QUANTA,QUANTA T42S-2U WITH 4 BLADES,QUANTA T42S 2U WITH 4 BLADES,LGA3647,2,DDR4,,,,,,no,no,none,derived,yes,no,Quanta cloud (Scalable Gen1/2)
4737,LENOVO,LENOVO METRO,LENOVO METRO,,2,,,,,,,no,no,none,manual,no,yes,Lenovo Metro - verify
4736,HPE,HPE DL385 GEN10 PLUS V2,HPE DL385 GEN10 PLUS V2,SP3,2,DDR4,,,,,SATA;SAS;NVMe,no,no,HPE\hpe-dl385-gen10-plus-v2-datasheet.pdf,derived,yes,no,HPE EPYC Gen10 Plus
4735,ASUS,ASSEMBLED SERVER,ASSEMBLED SERVER,,1,,,,,,,no,no,none,manual,no,yes,ASUS assembled - unknown
4734,HPE,HPE DL380 GEN10 8SFF SAS + 8SFF NVME,HPE DL380 GEN10 SAS NVME,LGA3647,2,DDR4,,,"2.5"" SFF",16,SAS;NVMe,no,no,none,derived,yes,no,HPE Intel Gen10 (Skylake/Cascade)
4733,GIGABYTE,GIGABYTE R282-N8,GIGABYTE R282 N8,LGA4189,2,DDR4,32,256,,,SATA;SAS;NVMe,no,no,GIGABYTE\GIGABYTE_R282-N81_datasheet.pdf,derived,yes,no,Gigabyte N8x (Ice Lake)
4732,FUJJITSU,PRIMERGY RX2540 M1,PRIMERGY RX2540 M1,LGA2011-3,2,DDR4,,1536,,,SATA;SAS,no,no,FUJJITSU\fujjitsu_PRIMERGY RX2540 M1_data sheet.pdf,derived,yes,no,Fujitsu RX2540 M1 (E5 v3)
4731,GIGABYTE,HYVE EDGE METAL G10,HYVE EDGE METAL G10,,2,,,,,,,no,no,none,manual,no,yes,Gigabyte Hyve Edge - verify
4730,DELL,DELL POWEREDGE E33S,DELL E33S,,1,,,,,,,no,no,none,manual,no,yes,Dell Edge/embedded - verify
4729,DELL,DELL POWEREDGE E10S,DELL E10S,,1,,,,,,,no,no,none,manual,no,yes,Dell Edge/embedded - verify
4728,HPE,HPE DL320E GEN8 V2,HPE DL320E GEN8 V2,LGA2011,2,DDR3,,,,,,no,no,none,derived,yes,no,HPE Gen8 (E5 v1/v2)
